Option,LossRate,CompletionTime,Throughput,DataRetrans,ACKRetrans,ACKEfficiency
1,0,0.21625494956970215,2567252.22291875,0,0,1.0
1,0,0.2128129005432129,2608775.119284967,0,0,1.0
1,50,0.21187939643859863,2620697.378961883,0.0,0.0,1.0
1,0,0.20102930068969727,2761691.9428922483,0,0,1.0
1,0,0.2204439640045166,2518467.686366886,0,0,1.0
1,0,0.21239614486694336,2613893.9590819594,0,0,1.0
1,0,0.2187647819519043,2537798.79488124,0,0,1.0
1,0,0.21187472343444824,2620326.724210531,0,0,1.0
1,55,0.21290178298950196,2610435.8214865727,0.0,0.0,1.0
1,0,0.20956802368164062,2649168.466862042,0,0,1.0
1,0,0.20911407470703125,2654919.334233281,0,0,1.0
1,0,0.21442198753356934,2589198.0873140744,0,0,1.0
1,0,0.20283770561218262,2737070.005423367,0,0,1.0
1,0,0.21138310432434082,2626420.8853142043,0,0,1.0
1,60,0.20946497917175294,2651355.355829394,0.0,0.0,1.0
2,0,0.21492815017700195,2583100.443300639,0,0,1.0
2,0,0.2149519920349121,2582813.933214578,0,0,1.0
2,0,0.21288204193115234,2607927.822204701,0,0,1.0
2,0,0.20981097221374512,2646100.8885388933,0,0,1.0
2,0,0.21323013305664062,2603670.4664651053,0,0,1.0
2,0,0.21316065788269042,2604722.7107447833,0.0,0.0,1.0
2,5,0.20701289176940918,2681866.792230572,0,33,1.0
2,5,0.2181260585784912,2545230.0546668605,0,25,1.0
2,5,0.2136540412902832,2598504.5574012697,0,25,1.0
2,5,0.21463704109191895,2586603.8647180293,0,25,1.0
2,5,0.20916390419006348,2654286.848152906,0,15,1.0
2,5,0.2125187873840332,2613298.4234339274,0.0,24.6,1.0
2,10,0.2167339324951172,2561578.5844355854,0,68,1.0
2,10,0.2198200225830078,2525616.1539622904,0,57,1.0
2,10,0.21369004249572754,2598066.7770754932,0,72,1.0
2,10,0.22500896453857422,2467372.8050724976,0,60,1.0
2,10,0.21134495735168457,2626894.9444398694,0,67,1.0
2,10,0.21731958389282227,2555905.8529971475,0.0,64.8,1.0
2,15,0.22218799591064453,2498699.3456805493,0,95,1.0
2,15,0.23068523406982422,2406660.3232695716,0,91,1.0
2,15,0.22062993049621582,2516344.898225503,0,98,1.0
2,15,0.21884393692016602,2536880.8833051166,0,88,1.0
2,15,0.22034788131713867,2519565.8641298586,0,81,1.0
2,15,0.22253899574279784,2495630.26292212,0.0,90.6,1.0
2,20,0.22772002220153809,2437998.1814188063,0,109,1.0
2,20,0.22600769996643066,2456469.40384094,0,146,1.0
2,20,0.22761917114257812,2439078.3834822103,0,125,1.0
2,20,0.2213129997253418,2508578.351425364,0,142,1.0
2,20,0.22368526458740234,2481973.9513197555,0,142,1.0
2,20,0.22526903152465821,2464819.6542974156,0.0,132.8,1.0
2,25,0.22176790237426758,2503432.6160647287,0,199,1.0
2,25,0.22914910316467285,2422793.6846911055,0,197,1.0
2,25,0.25433993339538574,2182830.6416080557,0,191,1.0
2,25,0.22446203231811523,2473384.893945799,0,167,1.0
2,25,0.21155214309692383,2624322.2681305604,0,158,1.0
2,25,0.22825422286987304,2441352.82088805,0.0,182.4,1.0
2,30,0.2266407012939453,2449608.551466442,0,212,1.0
2,30,0.24229693412780762,2291324.9067656435,0,254,1.0
2,30,0.23867392539978027,2326106.628824529,0,225,1.0
2,30,0.2418220043182373,2295824.9873298663,0,243,1.0
2,30,0.23398399353027344,2372730.6796657834,0,225,1.0
2,30,0.23668351173400878,2347119.150810453,0.0,231.8,1.0
2,35,0.22922706604003906,2421969.6634909012,0,306,1.0
2,35,0.21280717849731445,2608845.2650905577,0,272,1.0
2,35,0.21736621856689453,2554127.3324821764,0,286,1.0
2,35,0.24297785758972168,2284903.676027329,0,326,1.0
2,35,0.23509979248046875,2361469.545091676,0,293,1.0
2,35,0.2274956226348877,2446263.096436528,0.0,296.6,1.0
2,40,0.23947405815124512,2318334.621653938,0,345,1.0
2,40,0.2545199394226074,2181286.862080271,0,384,1.0
2,40,0.24607586860656738,2256137.5202850066,0,361,1.0
2,40,0.264127254486084,2101945.1441322225,0,387,1.0
2,40,0.2555718421936035,2172308.9493537922,0,319,1.0
2,40,0.2519537925720215,2206002.619501046,0.0,359.2,1.0
2,45,0.25390005111694336,2186612.3994763996,0,485,1.0
2,45,0.25644493103027344,2164913.1365925134,0,398,1.0
2,45,0.26188182830810547,2119967.6342064724,0,479,1.0
2,45,0.25965118408203125,2138180.1202362413,0,390,1.0
